product_type,mp_present,percent,product_type_name,n_product
0,0,0.640089004,Body,5393
0,1,0.359910996,Body,5393
1,0,0.702770781,Deodorant,1588
1,1,0.297229219,Deodorant,1588
2,0,0.628571429,Eye Makeup,630
2,1,0.371428571,Eye Makeup,630
3,0,0.589915966,Face Makeup,1190
3,1,0.410084034,Face Makeup,1190
4,0,0.645279082,Facial Care,5751
4,1,0.354720918,Facial Care,5751
5,0,0.67384106,Hair,6040
5,1,0.32615894,Hair,6040
6,0,0.61632948,Hands,1384
6,1,0.38367052,Hands,1384
7,0,0.632564841,Lips,694
7,1,0.367435159,Lips,694
8,0,0.380434783,Nails,92
8,1,0.619565217,Nails,92
9,0,0.363057325,Perfume,157
9,1,0.636942675,Perfume,157
10,0,0.637701804,Sun Care,2106
10,1,0.362298196,Sun Care,2106
11,0,0.552870091,Other,331
11,1,0.447129909,Other,331
12,0,0.416461378,All,27141
12,1,0.583538622,All,27141
