product_type,product_type_name,mp_present,percent,n_product
0,,0,0.658536585,
0,Baby Care,1,0.341463415,533
1,,0,0.640089004,
1,Body,1,0.359910996,5393
2,,0,0.617173524,
2,Dental Care,1,0.382826476,1118
3,,0,0.702770781,
3,Deodorant,1,0.297229219,1588
4,,0,0.628571429,
4,Eye Makeup,1,0.371428571,630
5,,0,0.589915966,
5,Face Makeup,1,0.410084034,1190
6,,0,0.645279082,
6,Facial Care,1,0.354720918,5751
7,,0,0.67384106,
7,Hair,1,0.32615894,6040
8,,0,0.61632948,
8,Hands,1,0.38367052,1384
9,,0,0.458333333,
9,Intimate Care,1,0.541666667,24
10,,0,0.527272727,
10,Legs & Feet,1,0.472727273,110
11,,0,0.632564841,
11,Lips,1,0.367435159,694
12,,0,0.380434783,
12,Nails,1,0.619565217,92
13,,0,0.363057325,
13,Perfume,1,0.636942675,157
14,,0,0.637701804,
14,Sun Care,1,0.362298196,2106
15,,0,0.552870091,
15,Other,1,0.447129909,331
16,,0,0.416461378,
16,All,1,0.583538622,27141
