brand,product,product_type,ingredient,p_id,i_id,n_ingre,n_product,mp_count,mp_percent,mp_present
<U+00B6><U+00B9><c3><db>Mung Honey<U+00AE>,"<U+00B6><U+00B9><c3><db>Mung Honey<U+00AE>, handmade, organic multi-purpose skincare product, 200g (MH200G)",Hair,none,3,36,0,48,21,0.4375,N
<U+00B6><U+00B9><c3><db>Mung Honey<U+00AE>,"<U+00B6><U+00B9><c3><db>Mung Honey<U+00AE>, handmade, organic multi-purpose skincare product, 55g (MH055G)",Facial Care,none,4,36,0,50,21,0.42,N
<U+00B6><U+00B9><c3><db>Mung Honey<U+00AE>,"<U+00B6><U+00B9><c3><db>Mung Honey<U+00AE>, handmade, organic multi-purpose skincare product, 15g (MH015G)",Body,none,2,36,0,39,29,0.743589744,N
<U+00A5><U+00A2><U+00A5>ð˜<U+00A1><U+00A1>(Arau),<U+00A5><U+00A2><U+00A5>ð˜<U+00A1><U+00A1><c5><U+0765><U+0725><U+01E5><U+00A3><U+00A5><U+00BD><U+00A9>`<U+00A5><d7>N<U+00A1><U+00A1>(Arau Foaming Body Soap),Body,none,1,36,0,39,29,0.743589744,N
Zwitsal,Hydraterende Zonnemelk SPF50,Sun Care,Polysorbate 20,237,81,7,34,12,0.352941176,Y
Zwitsal,Hydraterende Zonnemelk SPF50,Sun Care,VP/Eicosene Copolymer,237,107,7,34,12,0.352941176,Y
Zwitsal,Hydraterende Zonnemelk SPF50,Sun Care,Acrylates/Octylacrylamide Copolymer,237,7,7,34,12,0.352941176,Y
Zwitsal,Hydraterende Zonnemelk SPF50,Sun Care,Acrylates/Vinyl Isodecanoate Crosspolymer,237,8,7,34,12,0.352941176,Y
Zwitsal,Hydraterende Zonnemelk SPF50,Sun Care,Dimethicone,237,23,7,34,12,0.352941176,Y
Zwitsal,Hydraterende Zonnemelk SPF50,Sun Care,PVP,237,89,7,34,12,0.352941176,Y
Zwitsal,Hydraterende Zonnemelk SPF50,Sun Care,Sodium Polyacrylate,237,92,7,34,12,0.352941176,Y
Zwitsal,SPF 30+ Sun Cream 150 ml,Sun Care,Dimethicone,380,23,1,34,12,0.352941176,Y
Zwitsal,Aftersun Cr<U+00A8><U+00A8>me 0% Parfum 150 ml,Sun Care,none,15,36,0,34,12,0.352941176,N
Zwitsal,Zonnestick SPF 50+ 0% Parfum 25 g,Sun Care,Microcrystalline Wax,499,35,3,34,12,0.352941176,Y
Zwitsal,Zonnestick SPF 50+ 0% Parfum 25 g,Sun Care,Synthetic Wax,499,100,3,34,12,0.352941176,Y
Zwitsal,Zonnestick SPF 50+ 0% Parfum 25 g,Sun Care,Polyethylene,499,68,3,34,12,0.352941176,Y
Zwitsal,Original Deodorant Roller 50 ml,Deodorant,PEG-4 Laurate,292,54,4,11,8,0.727272727,Y
Zwitsal,Original Deodorant Roller 50 ml,Deodorant,Steareth-20,292,94,4,11,8,0.727272727,Y
Zwitsal,Original Deodorant Roller 50 ml,Deodorant,PEG-4 Dilaurate,292,53,4,11,8,0.727272727,Y
Zwitsal,Original Deodorant Roller 50 ml,Deodorant,Steareth-2,292,93,4,11,8,0.727272727,Y
Zwitsal,Zeepvrij Schuimbad 700 ml,Baby Care,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,477,5,1,146,21,0.143835616,Y
Zwitsal,Zeepvrij Schuimbad 400 ml,Baby Care,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,476,5,1,146,21,0.143835616,Y
