ingredients,product_type,n_product_with_ingre,percent_with_ingre,n_product,id,rank_in_type,i_id
Dimethicone,Other,47,0.141993958,331,0,1,0
Carbomer,Other,19,0.057401813,331,1,7,1
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Other,26,0.078549849,331,2,4,2
PEG-40 Hydrogenated Castor Oil,Other,37,0.111782477,331,3,2,3
Cyclopentasiloxane,Other,21,0.063444109,331,4,6,4
Polysorbate 20,Other,26,0.078549849,331,5,5,5
PEG-7 Glyceryl Cocoate,Other,32,0.096676737,331,6,3,6
Dimethicone,Sun Care,390,0.185185185,2106,7,1,0
Carbomer,Sun Care,245,0.116334283,2106,8,2,1
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Sun Care,175,0.083095916,2106,9,3,2
PEG-40 Hydrogenated Castor Oil,Sun Care,139,0.066001899,2106,10,4,3
Cyclopentasiloxane,Sun Care,84,0.03988604,2106,11,5,4
Polysorbate 20,Sun Care,71,0.0337132,2106,12,6,5
PEG-7 Glyceryl Cocoate,Sun Care,68,0.032288699,2106,13,7,6
Dimethicone,Perfume,25,0.159235669,157,14,1,0
Carbomer,Perfume,19,0.121019108,157,15,2,1
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Perfume,6,0.038216561,157,16,5,2
PEG-40 Hydrogenated Castor Oil,Perfume,1,0.006369427,157,17,6,3
Cyclopentasiloxane,Perfume,7,0.044585987,157,18,3,4
Polysorbate 20,Perfume,7,0.044585987,157,19,4,5
Dimethicone,Nails,11,0.119565217,92,20,1,0
Carbomer,Nails,8,0.086956522,92,21,2,1
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Nails,4,0.043478261,92,22,4,2
PEG-40 Hydrogenated Castor Oil,Nails,5,0.054347826,92,23,3,3
Cyclopentasiloxane,Nails,2,0.02173913,92,24,6,4
Polysorbate 20,Nails,4,0.043478261,92,25,5,5
PEG-7 Glyceryl Cocoate,Nails,2,0.02173913,92,26,7,6
Dimethicone,Lips,137,0.19740634,694,27,1,0
Carbomer,Lips,73,0.10518732,694,28,2,1
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Lips,42,0.060518732,694,29,4,2
PEG-40 Hydrogenated Castor Oil,Lips,36,0.051873199,694,30,6,3
Cyclopentasiloxane,Lips,69,0.099423631,694,31,3,4
Polysorbate 20,Lips,39,0.056195965,694,32,5,5
PEG-7 Glyceryl Cocoate,Lips,18,0.025936599,694,33,7,6
Dimethicone,Hands,272,0.196531792,1384,34,1,0
Carbomer,Hands,160,0.115606936,1384,35,2,1
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Hands,90,0.065028902,1384,36,5,2
PEG-40 Hydrogenated Castor Oil,Hands,92,0.066473988,1384,37,4,3
Cyclopentasiloxane,Hands,109,0.078757225,1384,38,3,4
Polysorbate 20,Hands,46,0.033236994,1384,39,7,5
PEG-7 Glyceryl Cocoate,Hands,53,0.038294798,1384,40,6,6
Dimethicone,Hair,1266,0.209602649,6040,41,1,0
Carbomer,Hair,740,0.122516556,6040,42,2,1
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Hair,387,0.064072848,6040,43,4,2
PEG-40 Hydrogenated Castor Oil,Hair,501,0.08294702,6040,44,3,3
Cyclopentasiloxane,Hair,283,0.046854305,6040,45,6,4
Polysorbate 20,Hair,215,0.035596026,6040,46,7,5
PEG-7 Glyceryl Cocoate,Hair,331,0.054801325,6040,47,5,6
Dimethicone,Facial Care,1170,0.203442879,5751,48,1,0
Carbomer,Facial Care,697,0.121196314,5751,49,2,1
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Facial Care,410,0.071291949,5751,50,3,2
PEG-40 Hydrogenated Castor Oil,Facial Care,384,0.066770996,5751,51,4,3
Cyclopentasiloxane,Facial Care,284,0.049382716,5751,52,5,4
Polysorbate 20,Facial Care,203,0.035298209,5751,53,6,5
PEG-7 Glyceryl Cocoate,Facial Care,183,0.031820553,5751,54,7,6
Dimethicone,Face Makeup,223,0.187394958,1190,55,1,0
Carbomer,Face Makeup,98,0.082352941,1190,56,2,1
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Face Makeup,65,0.054621849,1190,57,4,2
